fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
47027,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36053,25.0,0.0,0.0,29.0,85.0,0.0,74.0,0.0,0.0,1.0,3.0,28.0,0.0,0.0,0.0,13.0,0.0,120.0,17.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,0.0,0.0,67.0
30053,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,10.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
37189,0.0,22.0,0.0,0.0,94.0,0.0,67.0,1.0,0.0,538.0,17.0,48.0,0.0,0.0,7.0,20.0,0.0,98.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
31015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05025,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19179,0.0,0.0,0.0,0.0,17.0,0.0,6.0,0.0,0.0,1004.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,6.0,0.0,7.0,4.0,0.0,8.0,0.0,7.0,101.0,0.0,21.0,0.0,43.0
38013,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
12013,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
05119,11.0,183.0,0.0,48.0,188.0,166.0,206.0,144.0,31.0,5720.0,63.0,279.0,0.0,19.0,145.0,25.0,10.0,362.0,181.0,9.0,313.0,38.0,0.0,142.0,0.0,26.0,80.0,0.0,149.0,0.0,579.0
13167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51071,0.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22089,0.0,143.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,255.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27137,16.0,22.0,0.0,7.0,120.0,14.0,56.0,0.0,5.0,329.0,97.0,33.0,0.0,24.0,0.0,4.0,17.0,299.0,5.0,0.0,499.0,0.0,0.0,26.0,0.0,2.0,5.0,0.0,3.0,0.0,290.0
39049,415.0,478.0,1087.0,331.0,841.0,683.0,1048.0,292.0,351.0,11604.0,390.0,297.0,0.0,167.0,1254.0,197.0,60.0,1504.0,2566.0,75.0,1703.0,1475.0,10.0,921.0,58.0,107.0,569.0,11.0,6878.0,34.0,3263.0
